iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_dopa[u]	dopa	u	urine	Increased	urine	Increased (urine)	True	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	Dopamine	HMDB00073	CHEBI:18243	C03758	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_CE2176[u]	CE2176	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	3-O-Methyldopa	HMDB01434			not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_CE2176[bc]	CE2176	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	3-O-Methyldopa	HMDB01434			not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_nrpphr[bc]	nrpphr	bc	blood	Decreased	blood	Decreased (blood)	False	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	Norepinephrine	HMDB00216	CHEBI:18357	C00547	not_in_hpo_annotations	
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_3moxtyr[u]	3moxtyr	u	urine	Increased	urine	Increased (urine)	True	356	405	DDC		35708	Aromatic L-amino acid decarboxylase deficiency	1.0	Disease-causing germline mutation(s) in	Assessed	1	608643	G24.8	3-Methoxytyramine	HMDB00022	CHEBI:742324	C05587	not_in_hpo_annotations	
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_3ivcrn[u]	3ivcrn	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	3-Hydroxy-Isovaleryl Carnitine				not_in_hpo_annotations	
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_acac[u]	acac	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	Acetoacetate	HMDB00060	CHEBI:15344	C00164	not_in_hpo_annotations	
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_acetone[u]	acetone	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	Acetone	HMDB01659	CHEBI:15347	C00207	not_in_hpo_annotations	
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_bhb[u]	bhb	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	(R)-3-Hydroxybutyrate	HMDB00011	CHEBI:17066	C01089	not_in_hpo_annotations	
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_CE2026[u]	CE2026	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	3-Methylcrotonoylglycine				not_in_hpo_annotations	
