reaction	name	rule	n_conditions_essential	conditions	genes
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	6	L-Lysine;Decanoic acid;Lauric acid;Octanoic acid;Myristic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	5	Decanoic acid;Lauric acid;Octanoic acid;Myristic acid;Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
ACOAD3f	Acyl-CoA dehydrogenase (octanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_746885_1 or NP_747051_1	5	Decanoic acid;Lauric acid;Octanoic acid;Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	5	Decanoic acid;Lauric acid;Octanoic acid;Myristic acid;Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
ACOAD2f	Acyl-CoA dehydrogenase (hexanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_744365_1 or NP_746885_1 or NP_747051_1	5	Decanoic acid;Lauric acid;Octanoic acid;Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP2216: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
ACOAD1f	Acyl-CoA dehydrogenase (butanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_744365_1 or NP_746885_1 or NP_747051_1	5	Decanoic acid;Lauric acid;Octanoic acid;Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP2216: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
FUM	Fumarase	NP_743058_1 or NP_743105_1 or NP_743911_1	4	Sodium succinate dibasic hexahydrate;Sodium propionate;L-Valine;4-Aminobutyric acid	PP0897: class 1 fumarate hydratase || PP0944: class 2 fumarate hydratase || PP1755: class 2 fumarate hydratase
ACOAD4f	Acyl-CoA dehydrogenase (decanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_746885_1 or NP_747051_1	4	Decanoic acid;Lauric acid;Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	4	Decanoic acid;Lauric acid;Myristic acid;Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
3OXCOAT	3-oxoadipyl-CoA thiolase	NP_743536_1 or NP_745423_1 or NP_746745_1	3	Protocatechuic Acid;4-Hydroxybenzoic Acid;Phenylacetic acid	PP1377: beta-ketoadipyl-CoA thiolase || PP3280: 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase || PP4636: acetyl-CoA acetyltransferase
