reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
GLCURtex	D-glucuronat transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
NTPP10	Nucleoside triphosphate pyrophosphorylase (ditp)	NP_812040_1 or NP_813261_1	2	BT3128 (deoxyribonucleoside-triphosphatase) — no word in common with the reaction name while another alternative has		1
OBTFL	2-Oxobutanoate formate lyase	NP_813649_1 or (NP_813648_1 and NP_813649_1)	2	BT4737 (pyruvate formate-lyase activating enzyme) — no word in common with the reaction name while another alternative has		1
NTP1	Nucleoside-triphosphatase (ATP)	NP_811163_1 or NP_812918_1 or NP_813526_1	3	BT4615 (molecular chaperone DnaK) — non-enzyme/family/domain annotation		1
MTHFC	Methenyltetrahydrofolate cyclohydrolase	NP_809650_1 or NP_810520_1 or NP_811603_1	3	BT0737 (formate--tetrahydrofolate ligase) — no word in common with the reaction name while another alternative has		1
NAtex	Sodium transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
MSO3tex	Methanesulfonate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
MGSA	Methylglyoxal synthase	NP_809784_1 or NP_810011_1 or spontaneous	3	BT0871 (hypothetical protein BT_0871) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
NI2tex	Nickel transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
NMNAT	Nicotinamide-nucleotide adenylyltransferase	NP_810924_1 or NP_811727_1	2	BT2815 (mutT family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
NO2tex	Nitrite transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
NNATr	Nicotinate-nucleotide adenylyltransferase	NP_810924_1 or NP_811727_1	2	BT2815 (mutT family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
NO3tex	Nitrate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
NOVBCNtpp	Novobiocin transport via TolC system	(NP_809217_1 and NP_809218_1 and NP_809867_1) or (NP_809217_1 and NP_809799_1 and NP_809867_1) or (NP_809218_1 and NP_80	3	BT0954 (hypothetical protein BT_0954) — non-enzyme/family/domain annotation		1
NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1 or spontaneous	3	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
MGt5	Magnesium transport in/out via permease (no H+)	NP_812953_1 or NP_813590_1	2	BT4042 (Mg2+ transporter MgtE) — no word in common with the reaction name while another alternative has		1
PPKr	Polyphosphate kinase	NP_809454_1 or NP_809691_1	2	BT0778 (hypothetical protein BT_0778) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PPK2r	Polyphosphate kinase	NP_809454_1 or NP_809691_1	2	BT0778 (hypothetical protein BT_0778) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PPAtex	Propionate transport via diffusion	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
PNTK	Pantothenate kinase	NP_809097_1 or NP_813277_2	2	BT0184 (uridine kinase) — no word in common with the reaction name while another alternative has		1
PMANM	Phosphomannomutase	NP_809389_1 or NP_810461_1 or NP_812861_1	3	BT0476 (D-mannose-1-phosphate guanyltransferase) — no word in common with the reaction name while another alternative has		1
PItex	Phosphate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
PIt2r	Phosphate reversible transport via symport	NP_812650_1 or NP_813548_1	2	BT3739 (Na+/dicarboxylate or sulfate symporter) — no word in common with the reaction name while another alternative has		1
PGLYCP	Phosphoglycolate phosphatase	NP_813095_1 or NP_813226_1	2	BT4315 (HPr(Ser) phosphatase) — no word in common with the reaction name while another alternative has		1
PAPSR	Phosphoadenylyl-sulfate reductase (thioredoxin)	NP_809131_1 or NP_811142_1 or NP_811224_1	3	BT2311 (hypothetical protein BT_2311) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PGL	6-phosphogluconolactonase	NP_810133_1 or NP_813310_1	2	BT4399 (hypothetical protein BT_4399) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PDX5PS	Pyridoxine 5'-phosphate synthase	NP_813285_1 or (NP_812829_1 and NP_813285_1)	2	BT4374 (4-hydroxythreonine-4-phosphate dehydrogenase) — no word in common with the reaction name while another alternative has		1
PDHcr	Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible	NP_810455_1 or NP_812098_1	2	BT1542 (pyridine nucleotide-disulfide oxidoreductase) — no word in common with the reaction name while another alternative has		1
NTPP9	Nucleoside triphosphate pyrophosphorylase (itp)	NP_812040_1 or NP_813261_1	2	BT3128 (deoxyribonucleoside-triphosphatase) — no word in common with the reaction name while another alternative has		1
PROt2r	L proline reversible transport via proton symport	NP_809095_1 or NP_811725_1	2	BT2813 (sodium-dependent multivitamin transporter) — no word in common with the reaction name while another alternative has		1
PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
PYK	Pyruvate kinase	NP_811753_1 or NP_812270_1	2	BT3358 (3-oxoacyl-ACP synthase) — no word in common with the reaction name while another alternative has		1
RNTR4	Ribonucleoside triphosphate reductase  UTP	NP_810911_1 or NP_811981_1	2	BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has		1
RNTR3	Ribonucleoside triphosphate reductase  CTP	NP_810911_1 or NP_811981_1	2	BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has		1
RNTR2	Ribonucleoside triphosphate reductase  GTP	NP_810911_1 or NP_811981_1	2	BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has		1
