reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
DASYN120	CDP-diacylglycerol synthetase (n-C12:0)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DASYN140	CDP-diacylglycerol synthetase (n-C14:0)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DASYN160	CDP-diacylglycerol synthetase (n-C16:0)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	NP_435574_1 or spontaneous	2	SMa0626 (hypothetical protein SMa0626 (plasmid)) — non-enzyme/family/domain annotation		1
NI2t3pp	Nickle (Ni+2) transport out via proton antiport (periplasm)	NP_386102_1 or NP_386492_1	2	SMc02724 (hypothetical protein SMc02724) — non-enzyme/family/domain annotation		1
NMNAT	Nicotinamide-nucleotide adenylyltransferase	NP_386479_1 or NP_387268_2	2	SMc02711 (hypothetical protein SMc02711) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
NNATr	Nicotinate-nucleotide adenylyltransferase	NP_386479_1 or NP_387268_2	2	SMc02711 (hypothetical protein SMc02711) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
NTD2	5'-nucleotidase (UMP)	NP_384541_1 or NP_385732_1	2	SMc01730 (hypothetical protein SMc01730) — non-enzyme/family/domain annotation		1
NTD4	5'-nucleotidase (CMP)	NP_384541_1 or NP_385732_1	2	SMc01730 (hypothetical protein SMc01730) — non-enzyme/family/domain annotation		1
NTP1	Nucleoside-triphosphatase (ATP)	NP_384288_1 or NP_386841_1	2	SMc02857 (molecular chaperone DnaK) — non-enzyme/family/domain annotation		1
OPTCCL	5 carboxy 2 oxohept 3 enedioate decarboxylation	NP_386016_1 or NP_437231_1	2	SMc04240 (hypothetical protein SMc04240) — non-enzyme/family/domain annotation		1
ORNCD	Ornithine cyclodeaminase	NP_435502_1 or NP_436275_2 or NP_436959_1 or NP_437863_1	4	SMb20433 (ectoine utilization protein EutC (plasmid)) — no word in common with the reaction name while another alternative has		1
ORNTAC	Ornithine transacetylase	NP_384666_2 or NP_386731_2	2	SMc02256 (hippurate hydrolase) — no word in common with the reaction name while another alternative has		1
OXOAEL	3-oxoadipate enol-lactone hydrolase	NP_386100_1 or NP_438031_1	2	SMc04165 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
OXPTNDH	Glutarate-semialdehyde:NAD+ oxidoreductase	NP_384120_1 or NP_386010_1 or NP_386318_1	3	SMc04234 (cold shock-like transcription regulator protein) — non-enzyme/family/domain annotation		1
PACt1	Phenylacetic acid transport via outer membrane porin	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
PDHcr	Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible	NP_385556_1 or NP_387154_1 or NP_437349_3	3	SMb21143 (mercuric reductase (plasmid)) — no word in common with the reaction name while another alternative has		1
PGAMT	Phosphoglucosamine mutase	NP_386840_1 or NP_437200_1	2	SMb21081 (phosphoglucomutase phosphomannomutase (plasmid)) — no word in common with the reaction name while another alternative has		1
PHETA1	Phenylalanine transaminase	NP_384413_1 or NP_384661_1 or NP_385077_2 or NP_385155_1 or NP_386078_1 or NP_386168_1 or NP_386431_1 or NP_386609_1 or 	10	SMc01969 (hypothetical protein SMc01969) — non-enzyme/family/domain annotation		1
PIabc	Phosphate transport via ABC system	NP_384619_1 or (NP_384615_1 and NP_384617_1 and NP_384618_1 and NP_384619_1)	2	SMc02146 (phosphate-binding periplasmic protein) — no word in common with the reaction name while another alternative has		1
PPA2	Inorganic triphosphatase	NP_384861_1 or NP_385639_1	2	SMc00810 (hypothetical protein SMc00810) — non-enzyme/family/domain annotation		1
TMDS	Thymidylate synthase	NP_386233_1 or NP_437550_1	2	SMb21570 (NADH-dependent oxidase (plasmid)) — no word in common with the reaction name while another alternative has		1
TMPPP	Thiamine-phosphate diphosphorylase	NP_437627_1 or NP_438070_1	2	SMb20962 (phoshomethylpyrimidine kinase (plasmid)) — no word in common with the reaction name while another alternative has		1
ACOAD1	Acyl-CoA dehydrogenase (butanoyl-CoA)	NP_436012_2 or NP_436387_1 or NP_437985_1	3	SMa2091 (hypothetical protein SMa2091 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
TRPTA	Tryptophan transaminase	NP_384661_1 or NP_386078_1 or NP_386168_1 or NP_386609_1 or NP_436999_1	5	SMc01969 (hypothetical protein SMc01969) — non-enzyme/family/domain annotation		1
