reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
G1PACT	Glucosamine-1-phosphate N-acetyltransferase	NP_385763_1 or NP_385854_1	2	SMc00519 (hypothetical protein SMc00519) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
G3PT	Glycerol-3-phosphatase	NP_386159_1 or NP_437421_1	2	SMc04299 (hypothetical protein SMc04299) — non-enzyme/family/domain annotation		1
GALCTND	Galactonate dehydratase	NP_384930_1 or NP_437032_1	2	SMc00882 (2-dehydro-3-deoxy-6-phosphogalactonate aldolase) — no word in common with the reaction name while another alternative has		1
GALUi	UTP-glucose-1-phosphate uridylyltransferase (irreversible)	NP_386913_1 or NP_437625_1	2	SMb20960 (UDP-glucose pyrophosphorylase (plasmid)) — no word in common with the reaction name while another alternative has		1
GCCb	Glycine cleavage complex	NP_384210_1 or (NP_384210_1 and NP_385654_1)	2	SMc04148 (aminomethyltransferase) — no word in common with the reaction name while another alternative has		1
GF6PTA	Glutamine-fructose-6-phosphate transaminase	NP_384193_1 or NP_384308_1 or NP_435728_1	3	SMc02877 (hypothetical protein SMc02877) — non-enzyme/family/domain annotation		1
GGGABADr	Gamma-glutamyl-gamma aminobutyric acid dehydrogenase	NP_387408_1 or NP_435677_1 or NP_436261_1	3	SMa0796 (hypothetical protein SMa0796 (plasmid)) — non-enzyme/family/domain annotation		1
GLCabcpp	D-glucose transport via ABC system (periplasm)	(NP_384738_1 and NP_435281_1 and NP_437959_1) or (NP_384738_1 and NP_437959_1 and NP_437960_2) or (NP_387404_1 and NP_38	3	SMc04396 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		1
GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)	NP_385087_1 or NP_436831_1	2	SMb20301 (dehydgrogenase (plasmid)) — no word in common with the reaction name while another alternative has		1
GLCS1	Glycogen synthase (ADPGlc)	NP_385677_1 or NP_386952_1	2	SMc01220 (lipopolysaccharide core biosynthesis glycosyl transferase) — no word in common with the reaction name while another alternative has		1
GLGC	Glucose-1-phosphate adenylyltransferase	NP_386913_1 or NP_386951_1	2	SMc04023 (UTP--glucose-1-phosphate uridylyltransferase) — no word in common with the reaction name while another alternative has		1
GLNS	Glutamine synthetase	NP_384196_1 or NP_385746_1 or NP_386613_1 or NP_437977_1	4	SMb20745 (glutatmine synthetase II protein (plasmid)) — no word in common with the reaction name while another alternative has		1
GLUN	Glutaminase	NP_385892_1 or NP_386903_1	2	SMc04013 (aminodeoxychorismate synthase) — no word in common with the reaction name while another alternative has		1
GLUTRS	Glutamyl-tRNA synthetase	NP_386743_1 or NP_387009_1	2	SMc00735 (glutamyl-Q tRNA(Asp) synthetase) — no word in common with the reaction name while another alternative has		1
GLYBabcpp	Glycine betaine transport via ABC system (periplasm)	(NP_386505_1 and NP_386506_1 and NP_386507_1) or (NP_436044_1 and NP_436045_1 and NP_436046_1) or (NP_436044_1 and NP_43	4	SMa1467 (inner-membrane permease (plasmid)) — no word in common with the reaction name while another alternative has		1
GLYCTO1	Glycolate oxidase	NP_437782_1 or (NP_384883_1 and NP_384884_1 and NP_384885_2)	2	SMb21415 (oxidoreductase, oxygen dependent, FAD-dependent protein (plasmid)) — no word in common with the reaction name while another alternative has		1
GLYCTO2	Glycolate oxidase	NP_437782_1 or (NP_384883_1 and NP_384884_1 and NP_384885_2)	2	SMb21415 (oxidoreductase, oxygen dependent, FAD-dependent protein (plasmid)) — no word in common with the reaction name while another alternative has		1
GLYCTO3	Glycolate oxidase	NP_437782_1 or (NP_384883_1 and NP_384884_1 and NP_384885_2)	2	SMb21415 (oxidoreductase, oxygen dependent, FAD-dependent protein (plasmid)) — no word in common with the reaction name while another alternative has		1
GLYCTO4	Glycolate oxidase	NP_437782_1 or (NP_384883_1 and NP_384884_1 and NP_384885_2)	2	SMb21415 (oxidoreductase, oxygen dependent, FAD-dependent protein (plasmid)) — no word in common with the reaction name while another alternative has		1
GMPS	GMP synthase	NP_384420_1 or NP_387190_1	2	SMc03236 (glutamine amidotransferase) — no word in common with the reaction name while another alternative has		1
GMPS2	GMP synthase	NP_384420_1 or NP_387190_1	2	SMc03236 (glutamine amidotransferase) — no word in common with the reaction name while another alternative has		1
GNK	Gluconokinase	NP_435517_1 or NP_437238_2	2	SMa0514 (gluconate kinase (plasmid)) — no word in common with the reaction name while another alternative has		1
GRTT	Geranyltranstransferase	NP_384952_1 or NP_387373_1	2	SMc00860 (octaprenyl-diphosphate synthase) — no word in common with the reaction name while another alternative has		1
GTPCI	GTP cyclohydrolase I	NP_385526_1 or NP_386491_1	2	SMc02723 (7-cyano-7-deazaguanine reductase) — no word in common with the reaction name while another alternative has		1
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD2	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD2i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD3	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD3i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD4	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD4i	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD5i	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD6i	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD7	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HACD7i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	NP_384522_1 or NP_436038_1	2	SMa1452 (hypothetical protein SMa1452 (plasmid)) — non-enzyme/family/domain annotation		1
HACD8	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal	NP_386356_1 or NP_386751_1	2	SMc00727 (3-hydroxybutyryl-CoA dehydrogenase) — no word in common with the reaction name while another alternative has		1
HHDDI	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	NP_386016_1 or NP_437231_1	2	SMc04240 (hypothetical protein SMc04240) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
HIBDkt	3-hydroxyisobutyrate dehydrogenase	NP_385983_1 or NP_437983_1	2	SMc00133 (oxidoreductase) — no word in common with the reaction name while another alternative has		1
HPAtex	4-hydroxyphenylacetate transport via diffusion (extracellular to periplasm)	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
HXAND	Hypoxanthine dehydrogenase	NP_385855_1 or NP_436671_1 or NP_436868_1 or (NP_437330_1 and NP_437331_1)	4	SMc00518 (hypothetical protein SMc00518) — non-enzyme/family/domain annotation		1
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	(NP_385581_1 and NP_385582_1 and NP_385583_1 and NP_385584_1) or (NP_385029_1 and NP_386588_1 and NP_386589_1 and NP_386	2	SMc00078 (Leu/Ile/Val-binding protein) — no word in common with the reaction name while another alternative has		1
IPPS	2-isopropylmalate synthase	NP_385222_1 or NP_386485_3	2	SMc02546 (alpha-isopropylmalate/homocitrate synthase family transferase) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
ISETACabcpp	Isethionate transport via ABC system (periplasm)	(NP_386678_1 and NP_436723_1 and NP_438023_1) or (NP_386679_1 and NP_437505_1 and NP_437506_1) or (NP_437505_1 and NP_43	3	SMc02344 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		1
Kt2r	Potassium reversible transport  via proton symport	NP_385735_1 or NP_436643_1	2	SMb20103 (FAD-dependent oxidoreductase (plasmid)) — no word in common with the reaction name while another alternative has		1
DASYN180	CDP-diacylglycerol synthetase (n-C18:0)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	NP_384595_1 or NP_385606_1	2	SMc02157 (hypothetical protein SMc02157) — non-enzyme/family/domain annotation		1
DHNPA2r	Dihydroneopterin aldolase reversible	NP_385916_1 or NP_387146_1	2	SMc02495 (translaldolase) — no word in common with the reaction name while another alternative has		1
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	NP_385852_1 or NP_386423_1 or NP_387274_1 or NP_435571_1 or NP_435905_1	5	SMc00521 (hypothetical protein SMc00521) — non-enzyme/family/domain annotation		1
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	NP_385214_1 or NP_386423_1 or NP_386729_1 or NP_387274_1 or NP_435571_1 or NP_435905_1	6	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation		1
DRPA	Deoxyribose-phosphate aldolase	NP_386666_1 or NP_437344_1	2	SMc02333 (hypothetical protein SMc02333) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
ETHSO3abcpp	Ethanesulfonate transport via ABC system (periplasm)	(NP_386678_1 and NP_436723_1 and NP_438023_1) or (NP_437505_1 and NP_437506_1 and NP_437507_1)	2	SMc02344 (periplasmic binding protein) — no word in common with the reaction name while another alternative has		1
FACOAE140	Fatty-acid-CoA thioesterase (tetradecanoate)	NP_387294_1 or NP_438093_1	2	SMb21634 (acyl-CoA thioester hydrolase (plasmid)) — no word in common with the reaction name while another alternative has		1
FACOAE160	Fatty-acid-CoA thioesterase (hexadecanoate)	NP_387294_1 or NP_438093_1	2	SMb21634 (acyl-CoA thioester hydrolase (plasmid)) — no word in common with the reaction name while another alternative has		1
FACOAE161	Fatty-acid-CoA thioesterase (hexadecenoate)	NP_387294_1 or NP_438093_1	2	SMb21634 (acyl-CoA thioester hydrolase (plasmid)) — no word in common with the reaction name while another alternative has		1
FACOAL140	Fatty acid  CoA ligase  tetradecanoate	NP_384993_1 or NP_435326_1	2	SMc00965 (hypothetical protein SMc00965) — non-enzyme/family/domain annotation		1
FACOAL160	Fatty acid  CoA ligase  hexadecanoate	NP_384993_1 or NP_435326_1	2	SMc00965 (hypothetical protein SMc00965) — non-enzyme/family/domain annotation		1
FACOAL161	Fatty acid  CoA ligase  hexadecenoate	NP_384993_1 or NP_435326_1	2	SMc00965 (hypothetical protein SMc00965) — non-enzyme/family/domain annotation		1
FACOAL181	Fatty acid  CoA ligase  octadecenoate	NP_384993_1 or NP_435326_1	2	SMc00965 (hypothetical protein SMc00965) — non-enzyme/family/domain annotation		1
FALDH2	Formaldehyde dehydrogenase	NP_385500_1 or NP_436710_1	2	SMc01270 (alcohol dehydrogenase) — no word in common with the reaction name while another alternative has		1
FBA	Fructose-bisphosphate aldolase	NP_436732_1 or NP_437020_1 or NP_437398_1	3	SMb20498 (hypothetical protein SM_b20498 (plasmid)) — non-enzyme/family/domain annotation		1
FBA2	D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase	NP_437020_1 or NP_437398_1	2	SMb20498 (hypothetical protein SM_b20498 (plasmid)) — non-enzyme/family/domain annotation		1
FBP	Fructose-bisphosphatase	NP_385890_1 or NP_436735_1	2	SMc00535 (hypothetical protein SMc00535) — non-enzyme/family/domain annotation		1
