reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
DHORTS	Dihydroorotase	NP_743247_1 or NP_747101_1	2	PP4999 (dihydroorotase-like protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
FACOAE140	Fatty-acid-CoA thioesterase (tetradecanoate)	NP_746868_1 or NP_747457_1	2	PP5356 (hydrolase VdlD) — no word in common with the reaction name while another alternative has		1
FACOAE160	Fatty-acid-CoA thioesterase (hexadecanoate)	NP_746868_1 or NP_747457_1	2	PP5356 (hydrolase VdlD) — no word in common with the reaction name while another alternative has		1
FACOAE161	Fatty-acid-CoA thioesterase (hexadecenoate)	NP_746868_1 or NP_747457_1	2	PP5356 (hydrolase VdlD) — no word in common with the reaction name while another alternative has		1
FADRx	FAD reductase	NP_744841_2 or NP_747313_1	2	PP2697 (flavin reductase domain-containing oxidoreductase) — non-enzyme/family/domain annotation		1
FE2abc	Iron (II) transport via ABC system	NP_743592_1 or (NP_744739_2 and NP_744740_1) or (NP_743239_1 and NP_746985_1 and NP_746986_1)	3	PP1434 (GTPase Era) — no word in common with the reaction name while another alternative has		1
FEENTER2tpp	Enterochelin transport2 via ABC system periplasm	NP_742336_1 or NP_742965_1	2	PP0167 (toxin secretion ATP-binding protein) — no word in common with the reaction name while another alternative has		1
MDH	Malate dehydrogenase	NP_742815_2 or NP_744979_1	2	PP2835 (putative oxidoreductase) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
METGL	Methionine g lyase	NP_743468_1 or NP_746463_1	2	PP4348 (cystathionine beta-lyase) — no word in common with the reaction name while another alternative has		1
METS	Methionine synthase	NP_744524_1 or NP_746746_1	2	PP4637 (5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
MG2uabcpp	Magnesium (Mg+2) ABC transporter (ubtake, periplasm)	NP_744789_1 or NP_745387_1 or NP_746582_1	3	PP3244 (MgtC family magnesium transporter) — non-enzyme/family/domain annotation		1
MI1PP	Myo-inositol 1-phosphatase	NP_742999_1 or NP_745301_1	2	PP3157 (inositol monophosphatase family protein) — non-enzyme/family/domain annotation		1
MLTGY1pp	Murein lytic transglycosylase (murein4p4p) (periplasm)	NP_743197_2 or NP_744279_1 or NP_744436_1 or NP_745560_1 or NP_746263_1 or NP_746910_1 or NP_747074_1	7	PP2287 (internal core protein) — no word in common with the reaction name while another alternative has		1
MLTGY2pp	Murein lytic transglycosylase (murein4p3p) (periplasm)	NP_743197_2 or NP_744279_1 or NP_744436_1 or NP_745560_1 or NP_746263_1 or NP_746910_1 or NP_747074_1	7	PP2287 (internal core protein) — no word in common with the reaction name while another alternative has		1
MLTGY3pp	Murein lytic transglycosylase (murein3p3p) (periplasm)	NP_743197_2 or NP_744279_1 or NP_744436_1 or NP_745560_1 or NP_746263_1 or NP_746910_1 or NP_747074_1	7	PP2287 (internal core protein) — no word in common with the reaction name while another alternative has		1
MLTGY4pp	Murein lytic transglycosylase (murein4px4p4p) (periplasm)	NP_743197_2 or NP_744279_1 or NP_744436_1 or NP_745560_1 or NP_746263_1 or NP_746910_1 or NP_747074_1	7	PP2287 (internal core protein) — no word in common with the reaction name while another alternative has		1
MOBDabcpp	Molybdate transport via ABC system (periplasm)	(NP_743880_1 and NP_746421_1 and NP_747238_1) or (NP_745958_1 and NP_745960_1 and NP_747237_1)	2	PP3828 (molybdate-binding protein) — no word in common with the reaction name while another alternative has		1
MTHFR3	5 10 methylenetetrahydrofolatereductase  NADPH	NP_744920_1 or NP_746747_1 or NP_747079_1	3	PP2776 (homocysteine S-methyltransferase family protein) — non-enzyme/family/domain annotation		1
