reaction	name	rule	n_conditions_essential	conditions	genes
HSDy	Homoserine dehydrogenase (NADPH)	NP_718968_1 or NP_719585_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO3415: bifunctional aspartokinase I / homoserine dehydrogenase I ThrA || SO4055: bifunctional aspartokinase II/homoserine dehydrogenase methionine-sensitive MetL
SERAT	Serine O-acetyltransferase	NP_717858_1 or YP_007001387_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2262: serine acetyltransferase CysE || SO4799: O-antigen biosynthesis acetyltransferase WbnJ
UMPK	UMP kinase	NP_717242_1 or NP_717993_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1631: uridylate kinase PyrH || SO2403: cytidylate kinase Cmk
RBFSa	Riboflavin synthase	NP_717892_1 or NP_719015_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2296: 6,7-dimethyl-8-ribityllumazine synthase alpha subunit RibC || SO3466: riboflavin synthase beta subunit RibE
CA2tex	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	NP_715952_1 or NP_717429_1 or NP_718625_1 or NP_719499_1 or NP_719846_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0312: outer membrane porin || SO1821: outer membrane porin || SO3060: outer membrane porin || SO3969: putative outer membrane lipoprotein YiaD || SO4321: Pal-like T1SS-linked outer membrane lipoprotein
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	NP_717992_1 or NP_719076_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2402: ribosomal protein S1 RpsA || SO3529: 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase IspH
DHFR	Dihydrofolate reductase	NP_716403_1 or NP_719188_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0772: dihydrofolate reductase FolM || SO3646: dihydrofolate reductase FolA
PHETA1	Phenylalanine transaminase	NP_717878_1 or NP_717940_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2282: bifunctional transcriptional repressor of amino acid efflux GntR family / aminotransferase || SO2350: aspartate aminotransferase AspC
ADSK	Adenylyl-sulfate kinase	NP_718203_1 or NP_719263_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2618: scaffold protein for || SO3723: adenylylsulfate kinase CysC
E4PD	Erythrose 4-phosphate dehydrogenase	NP_716174_1 or NP_716560_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0538: glyceraldehyde-3-phosphate dehydrogenase (NAD+) GapA || SO0931: D-erythrose-4-phosphate dehydrogenase E4pd
ASNS1	Asparagine synthase (glutamine-hydrolysing)	NP_718348_1 or NP_718731_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2767: asparagine synthase glutamine-hydrolyzing AsnB || SO3175: asparagine synthase glutamine-hydrolyzing WbpQ
TMDS	Thymidylate synthase	NP_716955_1 or NP_718009_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1335: thymidylate synthase ThyA || SO2419: NADP-dependent 24-dienoyl-CoA reductase FadH
HCO3E	HCO3 equilibration reaction	NP_718061_1 or spontaneous	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2474: beta-class carbonic anhydrase Can
PRPPS	Phosphoribosylpyrophosphate synthetase	NP_717587_1 or NP_719370_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1980: ribose phosphate pyrophosphokinase NadR || SO3837: ribose-phosphate pyrophosphokinase PrsA
COBALT2tex	Cobalt (Co+2) transport via diffusion (extracellular to periplasm)	NP_715952_1 or NP_717429_1 or NP_718625_1 or NP_719499_1 or NP_719846_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0312: outer membrane porin || SO1821: outer membrane porin || SO3060: outer membrane porin || SO3969: putative outer membrane lipoprotein YiaD || SO4321: Pal-like T1SS-linked outer membrane lipoprotein
DPR	2-dehydropantoate 2-reductase	NP_719353_1 or NP_719873_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO3817: 2-dehydropantoate 2-reductase PanE || SO4349: ketol-acid reductoisomerase IlvC
