gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SO3559	NP_719106_2	8	glutamate--cysteine ligase (NCBI ptt file)	GLUCYS	0.09670002118994972	Growth[uses cys__L_c; v=0.0967; rev=False; gpr=none] | THZPSN[uses cys__L_c; v=2.09e-05; rev=False; gpr=yes] | PPNCL[uses cys__L_c; v=5.39e-05; rev=False; gpr=yes]
SO2593	NP_718179_1	5	conserved hypothetical protein (NCBI ptt file)	GLUDxi	0.09670002118994972	
SO1325	NP_716945_1	6	glutamate synthase, large subunit (NCBI ptt file)	GLUSy	0.09670002118994972	CBPS[uses gln__L_c; v=0.0587; rev=False; gpr=yes] | IG3PS[uses gln__L_c; v=0.00887; rev=False; gpr=yes] | PRFGS[uses gln__L_c; v=0.0419; rev=False; gpr=yes] | Growth[uses gln__L_c; v=0.0967; rev=False; gpr=none] | CTPS2[uses gln__L_c; v=0.015; rev=False; gpr=yes] | ADCS[uses gln__L_c; v=6.26e-05; rev=False; gpr=yes] | GLUPRT[uses gln__L_c; v=0.0419; rev=False; gpr=yes] | GMPS2[uses gln__L_c; v=0.0228; rev=False; gpr=yes] | ANS[uses gln__L_c; v=0.00532; rev=False; gpr=yes] | GF6PTA[uses gln__L_c; v=0.0187; rev=False; gpr=yes] | ASNS1[uses gln__L_c; v=0.0226; rev=False; gpr=yes]
SO1324	NP_716944_1	6	glutamate synthase, small subunit (NCBI ptt file)	GLUSy	0.09670002118994972	CBPS[uses gln__L_c; v=0.0587; rev=False; gpr=yes] | IG3PS[uses gln__L_c; v=0.00887; rev=False; gpr=yes] | PRFGS[uses gln__L_c; v=0.0419; rev=False; gpr=yes] | Growth[uses gln__L_c; v=0.0967; rev=False; gpr=none] | CTPS2[uses gln__L_c; v=0.015; rev=False; gpr=yes] | ADCS[uses gln__L_c; v=6.26e-05; rev=False; gpr=yes] | GLUPRT[uses gln__L_c; v=0.0419; rev=False; gpr=yes] | GMPS2[uses gln__L_c; v=0.0228; rev=False; gpr=yes] | ANS[uses gln__L_c; v=0.00532; rev=False; gpr=yes] | GF6PTA[uses gln__L_c; v=0.0187; rev=False; gpr=yes] | ASNS1[uses gln__L_c; v=0.0226; rev=False; gpr=yes]
SO0780	NP_716411_1	5	glycine cleavage system H protein (NCBI ptt file)	GLYCL	0.09670002118994797	PRAGSr[uses gly_c; v=0.0419; rev=True; gpr=yes] | Growth[uses gly_c; v=0.0967; rev=False; gpr=none] | Growth[uses thf_c; v=0.0967; rev=False; gpr=none] | GHMT2r[uses thf_c; v=0.0993; rev=True; gpr=yes] | GHMT2r[makes mlthf_c; v=0.0993; rev=True; gpr=yes]
SO0779	NP_716410_1	4	glycine cleavage system T protein (NCBI ptt file)	GLYCL	0.09670002118994797	PRAGSr[uses gly_c; v=0.0419; rev=True; gpr=yes] | Growth[uses gly_c; v=0.0967; rev=False; gpr=none] | Growth[uses thf_c; v=0.0967; rev=False; gpr=none] | GHMT2r[uses thf_c; v=0.0993; rev=True; gpr=yes] | GHMT2r[makes mlthf_c; v=0.0993; rev=True; gpr=yes]
SO0781	NP_716412_1	4	glycine cleavage system P protein (NCBI ptt file)	GLYCL	0.09670002118994797	PRAGSr[uses gly_c; v=0.0419; rev=True; gpr=yes] | Growth[uses gly_c; v=0.0967; rev=False; gpr=none] | Growth[uses thf_c; v=0.0967; rev=False; gpr=none] | GHMT2r[uses thf_c; v=0.0993; rev=True; gpr=yes] | GHMT2r[makes mlthf_c; v=0.0993; rev=True; gpr=yes]
SO0831	NP_716462_1	7	glutathione synthetase (NCBI ptt file)	GTHS	0.09670002118994851	PRAGSr[uses gly_c; v=0.0419; rev=True; gpr=yes] | Growth[uses gly_c; v=0.0967; rev=False; gpr=none]
SO0871	NP_716502_1	8	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (NCBI ptt file)	HPPK;HPPK2	0.09670002118994972	HPPK2:isozyme[NP_716502_1 or NP_716914_1]
SO1676	NP_717287_1	7	homoserine O-succinyltransferase (NCBI ptt file)	HSERTA;HSST	0.09670002118994978	HSERTA:isozyme[NP_716436_2 or NP_717287_1] | STPT1[uses hom__L_c; v=0.051; rev=False; gpr=yes] | THDPS[uses succoa_c; v=0.0415; rev=False; gpr=yes]
SO4311	NP_719836_2	7	cyay protein (NCBI ptt file)	I2FE2SS2	0.09670002118995034	Growth[uses fe2_c; v=0.0967; rev=False; gpr=none] | FMNAT[makes fad_c; v=2.09e-05; rev=False; gpr=yes]
SO0340	NP_715980_1	6	branched-chain amino acid aminotransferase (NCBI ptt file)	VALTA;LEUTA;ILETA	0.09670002118995155	Growth[uses val__L_c; v=0.0967; rev=False; gpr=none] | DHAD1[makes 3mob_c; v=0.0819; rev=False; gpr=yes] | Growth[uses leu__L_c; v=0.0967; rev=False; gpr=none] | OMCDC[makes 4mop_c; v=0.0422; rev=False; gpr=yes] | Growth[uses ile__L_c; v=0.0967; rev=False; gpr=none]
SO3293	NP_718847_1	8	inosine-5'-monophosphate dehydrogenase (NCBI ptt file)	IMPD	0.09670002118994972	IMPD:isozyme[NP_717825_1 or NP_718428_1 or NP_718847_]
SO0770	NP_716401_1	7	malate dehydrogenase (NCBI ptt file)	MDH	0.09222343967500714	ME1[uses mal__L_c; v=0.0931; rev=False; gpr=yes] | PPC[makes oaa_c; v=0.37; rev=False; gpr=yes]
SO0818	NP_716449_1	7	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (NCBI ptt file)	METS;METS_1	0.09670002118994972	DHFR[makes thf_c; v=0.00251; rev=True; gpr=yes] | MOHMT[makes thf_c; v=5.39e-05; rev=False; gpr=yes] | GARFT[makes thf_c; v=0.0316; rev=True; gpr=yes] | AICART[makes thf_c; v=0.0508; rev=True; gpr=yes] | METS_1:isozyme[NP_716449_1 or NP_716658_1]
SO0343	NP_715983_1	6	aconitate hydratase 1 (NCBI ptt file)	MICITDr	0.09670002118994972	
SO1104	NP_716730_1	5	NADH:ubiquinone oxidoreductase, Na translocating, hydrophobic membrane protein NqrB (NCBI ptt file)	NADHNQR	0.09670002118994972	CAt6pp[uses na1_c; v=-0.000487; rev=True; gpr=yes] | SUCDi[uses q8_c; v=0.29; rev=False; gpr=yes] | NADH16[uses q8_c; v=3.54; rev=False; gpr=yes] | DHORD2[uses q8_c; v=0.031; rev=False; gpr=yes] | SUCDi[makes q8h2_c; v=0.29; rev=False; gpr=yes] | NADH16[makes q8h2_c; v=3.54; rev=False; gpr=yes] | DHORD2[makes q8h2_c; v=0.031; rev=False; gpr=yes] | CAt6pp[makes na1_p; v=-0.000487; rev=True; gpr=yes]
SO1107	NP_716733_1	4	NADH:ubiquinone oxidoreductase, Na translocating, hydrophobic membrane protein NqrE (NCBI ptt file)	NADHNQR	0.09670002118994972	CAt6pp[uses na1_c; v=-0.000487; rev=True; gpr=yes] | SUCDi[uses q8_c; v=0.29; rev=False; gpr=yes] | NADH16[uses q8_c; v=3.54; rev=False; gpr=yes] | DHORD2[uses q8_c; v=0.031; rev=False; gpr=yes] | SUCDi[makes q8h2_c; v=0.29; rev=False; gpr=yes] | NADH16[makes q8h2_c; v=3.54; rev=False; gpr=yes] | DHORD2[makes q8h2_c; v=0.031; rev=False; gpr=yes] | CAt6pp[makes na1_p; v=-0.000487; rev=True; gpr=yes]
SO1103	NP_716729_1	4	NADH:ubiquinone oxidoreductase, Na translocating, alpha subunit (NCBI ptt file)	NADHNQR	0.09670002118994972	CAt6pp[uses na1_c; v=-0.000487; rev=True; gpr=yes] | SUCDi[uses q8_c; v=0.29; rev=False; gpr=yes] | NADH16[uses q8_c; v=3.54; rev=False; gpr=yes] | DHORD2[uses q8_c; v=0.031; rev=False; gpr=yes] | SUCDi[makes q8h2_c; v=0.29; rev=False; gpr=yes] | NADH16[makes q8h2_c; v=3.54; rev=False; gpr=yes] | DHORD2[makes q8h2_c; v=0.031; rev=False; gpr=yes] | CAt6pp[makes na1_p; v=-0.000487; rev=True; gpr=yes]
SO1105	NP_716731_1	4	NADH:ubiquinone oxidoreductase, Na translocating, gamma subunit (NCBI ptt file)	NADHNQR	0.09670002118994972	CAt6pp[uses na1_c; v=-0.000487; rev=True; gpr=yes] | SUCDi[uses q8_c; v=0.29; rev=False; gpr=yes] | NADH16[uses q8_c; v=3.54; rev=False; gpr=yes] | DHORD2[uses q8_c; v=0.031; rev=False; gpr=yes] | SUCDi[makes q8h2_c; v=0.29; rev=False; gpr=yes] | NADH16[makes q8h2_c; v=3.54; rev=False; gpr=yes] | DHORD2[makes q8h2_c; v=0.031; rev=False; gpr=yes] | CAt6pp[makes na1_p; v=-0.000487; rev=True; gpr=yes]
SO_0419	YP_007001321_1	5		NNDPR	0.09670002118994972	GLUPRT[uses prpp_c; v=0.0419; rev=False; gpr=yes] | ORPT[uses prpp_c; v=-0.031; rev=True; gpr=yes] | ATPPRT[uses prpp_c; v=0.00887; rev=False; gpr=yes] | ANPRT[uses prpp_c; v=0.00532; rev=False; gpr=yes] | NICRNS[makes nicrnt_c; v=0.000213; rev=False; gpr=yes]
