model_gene	browser_gene
NP_719367_1	SO3834
NP_716504_1	SO0873
YP_007001384_1	SO_3130
NP_716671_1	SO1043
NP_716670_1	SO1042
NP_718493_1	SO2923
NP_720189_1	SO4674
NP_717380_1	SO1770
NP_716411_1	SO0780
NP_716410_1	SO0779
NP_716412_1	SO0781
NP_716220_1	SO0585
NP_718227_1	SO2643
NP_717305_1	SO1694
NP_719758_1	SO4230
NP_718619_1	SO3054
NP_718149_1	SO2563
NP_717647_1	SO2044
NP_719206_1	SO3665
NP_719284_1	SO3745
NP_718423_1	SO2851
NP_718846_1	SO3292
NP_717509_1	SO1902
NP_716222_1	SO0587
NP_718452_2	SO2880
NP_718329_1	SO2745
NP_717626_1	SO2020
NP_719941_1	SO4418
NP_720218_1	SO4702
NP_717176_1	SO1563
NP_718903_1	SO3349
NP_717559_1	SO1952
NP_720385_1	SOA0049
NP_716462_1	SO0831
NP_719781_1	SO4254
NP_718403_1	SO2831
NP_717785_1	SO2185
NP_716438_1	SO0807
NP_719339_1	SO3803
NP_716927_2	SO1307
NP_719092_2	SO3545
NP_720438_1	SOA0114
NP_716105_1	SO0468
NP_718061_1	SO2474
NP_717806_1	SO2208
NP_720130_1	SO4614
NP_720193_1	SO4678
NP_717009_1	SO1389
NP_719979_1	SO4458
NP_717198_1	SO1585
NP_717293_1	SO1682
NP_715740_1	SO0098
NP_718622_2	SO3057
NP_719898_1	SO4374
NP_717676_1	SO2073
NP_717674_1	SO2071
NP_719838_1	SO4313
NP_717501_1	SO1893
NP_718471_1	SO2899
NP_715764_1	SO0122
NP_718352_1	SO2771
NP_716502_1	SO0871
NP_719551_1	SO4021
NP_719173_1	SO3631
NP_716436_2	SO0805
NP_717287_1	SO1676
NP_717675_1	SO2072
NP_718613_1	SO3048
NP_718614_1	SO3049
NP_718616_1	SO3051
NP_717702_1	SO2099
NP_717700_1	SO2097
NP_717701_1	SO2098
NP_717699_1	SO2096
NP_718344_1	SO2762
NP_717861_1	SO2265
NP_719836_2	SO4311
NP_717862_1	SO2266
NP_717154_1	SO1538
NP_718214_1	SO2629
NP_720229_1	SO4713
NP_717101_1	SO1484
NP_717673_1	SO2070
NP_717671_1	SO2068
NP_718590_2	SO3022
NP_718222_1	SO2638
NP_715980_1	SO0340
NP_716578_2	SO0949
NP_717825_1	SO2228
