gene	classification	growth_ratio
YML126C	TN	0
YMR006C	TP	1
YMR008C	TP	1
YMR009W	TP	1
YMR011W	TP	1
YMR013C	FP	1
YMR015C	TP	1
YMR020W	TP	1
YMR041C	TP	1
YMR054W	TP	1
YMR056C	TP	1
YMR058W	TP	1
YMR062C	TP	0.914516
YMR083W	TP	1
YMR087W	TP	1
YMR088C	TP	1
YMR099C	TP	1
YMR101C	TP	1
YMR105C	TP	1
YMR108W	FP	0.524825
YMR110C	TP	1
YMR113W	TN	0
YMR120C	TP	1
YMR145C	TP	1
YMR162C	TP	1
YMR165C	TP	1
YMR169C	TP	1
YMR170C	TP	1
YMR189W	TP	1
YMR202W	TP	1
YMR205C	TP	1
YMR207C	TP	1
YMR208W	TN	0
YMR210W	TP	1
YMR217W	FN	2.56992e-17
YMR220W	TN	0
YMR226C	TP	1
YMR241W	TP	1
YMR243C	TP	1
YMR246W	TP	1
YMR250W	TP	1
YMR256C	TP	1
YMR261C	TP	1
YMR267W	TP	0.988256
YMR271C	TP	1
YMR272C	TP	1
YMR278W	TP	1
YMR281W	FP	1
YMR289W	TP	1
YMR293C	TP	1
YMR296C	FP	1
YMR298W	FP	1
YMR300C	TP	1
YMR301C	FP	1
YMR303C	TP	1
YMR306W	TP	1
YMR313C	TP	1
YMR318C	TP	1
YMR319C	TP	1
YMR323W	TP	1
YNL003C	TP	1
YNL009W	TP	1
YNL029C	TP	1
YNL036W	FP	1
YNL037C	TP	0.994499
YNL038W	FP	1
YNL045W	TP	1
YNL048W	TP	1
YNL052W	TP	1
YNL054W	TP	1
YNL065W	TP	1
YNL071W	TP	0.980143
YNL073W	TP	1
YNL101W	TP	1
YNL104C	TP	0.999306
YNL106C	TP	1
YNL117W	TP	1
YNL129W	TP	1
YNL130C	TP	1
YNL141W	TP	1
YNL142W	TP	1
YNL169C	TP	1
YNL191W	TP	1
YNL192W	TP	1
YNL202W	TP	1
YNL219C	TP	1
YNL220W	TP	1
YNL229C	TP	1
YNL241C	TP	1
YNL247W	TN	0
YNL256W	TN	0
YNL267W	FP	1
YNL268W	TP	1
YNL270C	TP	1
YNL274C	TP	1
YNL275W	FN	0
YNL277W	TP	1
YNL280C	TP	1
YNL292W	TP	1
YNL316C	TP	1
YNL318C	TP	1
YNL325C	TP	1
YNL331C	TP	1
YNL333W	TP	1
YNL334C	TP	1
YNR001C	TP	1
YNR008W	TP	1
YNR012W	TP	1
YNR013C	TP	1
YNR016C	TN	-8.59685e-15
YNR019W	TP	1
YNR027W	TP	0.998564
YNR030W	TP	1
YNR033W	TP	1
YNR041C	TP	1
YNR043W	TN	0
YNR050C	TP	0.539427
YNR056C	TP	1
YNR057C	TP	1
YNR058W	TP	1
YNR060W	TP	1
YNR067C	TP	1
YNR072W	TP	1
YOL011W	TP	1
YOL020W	TP	1
YOL033W	TP	1
YOL049W	TN	0
YOL052C	TP	1
YOL055C	TP	1
YOL058W	TP	0.914516
YOL059W	TP	1
YOL061W	TP	1
YOL064C	TP	0.999738
YOL065C	TP	1
YOL066C	FP	1
YOL068C	TP	1
YOL077W-A	TP	0.377022
YOL086C	TP	1
YOL092W	TP	1
YOL096C	TP	1
YOL097C	TN	0
YOL103W	TP	1
YOL122C	FN	0
YOL126C	TP	1
YOL130W	TN	0
YOL136C	TP	1
YOL140W	TP	0.914516
YOL143C	TP	1
YOL151W	TP	1
YOL152W	TP	1
YOL156W	TP	1
YOL157C	TP	1
YOL165C	TP	1
YOR002W	TP	1
YOR011W	TP	1
YOR025W	TP	1
YOR040W	TP	1
YOR054C	FN	7.05376e-13
YOR065W	TP	0.196833
YOR067C	TP	1
YOR071C	TP	1
YOR074C	TN	0
YOR081C	TP	1
YOR095C	TN	2.03184e-14
YOR099W	TP	1
YOR100C	TP	1
YOR108W	TP	1
YOR109W	TP	1
YOR120W	TP	1
YOR125C	TP	1
YOR126C	TP	1
YOR128C	TP	1
YOR130C	TP	0.914516
YOR136W	TP	0.994499
YOR142W	TP	0.98935
YOR143C	FP	1
YOR149C	FP	1
YOR155C	TP	1
YOR161C	TP	1
YOR163W	TP	1
YOR168W	TN	0
YOR171C	TP	1
YOR175C	TP	0.999486
YOR176W	TN	0
YOR180C	TP	1
YOR184W	TP	0.992051
YOR190W	TP	1
YOR192C	TP	1
YOR202W	TP	1
YOR209C	TP	1
YOR221C	TP	1
YOR222W	TP	1
YOR236W	TN	3.90355e-15
YOR241W	TP	1
YOR245C	TP	1
YOR251C	TP	1
YOR253W	TP	1
YOR270C	TP	1
YOR273C	TP	1
YOR278W	TN	0
YOR283W	TP	1
YOR285W	TP	1
YOR286W	TP	1
YOR303W	TP	1
YOR306C	TP	0.999733
YOR311C	TP	1
YOR316C	TP	1
YOR317W	TP	1
YOR321W	TP	1
YOR323C	TP	1
YOR332W	TP	1
YOR334W	TP	1
YOR335C	TN	0
YOR347C	TP	1
YOR348C	TP	1
YOR360C	TP	1
YOR374W	TP	1
YOR375C	TP	1
YOR377W	TP	1
YOR381W	TP	1
YOR384W	TP	1
YOR388C	TP	0.999816
YOR391C	TP	1
YOR393W	TP	1
YPL015C	TP	1
YPL023C	TP	1
YPL028W	TN	0
YPL036W	TP	1
YPL040C	TP	1
YPL053C	TP	1
YPL057C	TP	1
YPL059W	TP	1
YPL060W	TP	1
YPL061W	TP	1
YPL069C	TP	1
YPL076W	FP	1
YPL078C	TP	0.377022
YPL087W	TP	1
YPL091W	TP	1
YPL092W	TP	1
YPL095C	TP	1
YPL096C-A	TP	1
YPL097W	TP	1
YPL104W	TP	1
YPL110C	TP	1
YPL111W	TP	1
YPL117C	TN	0
YPL120W	TP	1
YPL132W	TP	1
YPL134C	TP	1
YPL147W	TP	0.99991
YPL148C	TP	0.999738
YPL160W	TN	0
YPL172C	FN	0
YPL175W	FP	1
YPL188W	TP	1
YPL189W	TP	1
YPL206C	TP	1
YPL212C	TP	1
YPL214C	TP	1
YPL227C	TP	1
YPL231W	FP	1
YPL234C	TP	1
YPL244C	TP	1
YPL252C	FP	1
YPL258C	TP	1
YPL262W	TP	0.979177
YPL265W	TP	1
YPL268W	TP	1
YPL271W	TP	0.377022
YPL273W	TP	1
YPL274W	TP	1
YPL281C	TP	1
YPR001W	TP	0.999737
YPR002W	TP	0.999737
YPR006C	TP	0.999737
YPR020W	TP	0.377022
YPR021C	TP	0.998213
YPR026W	TP	1
YPR033C	TN	0
YPR035W	FP	1
YPR036W	TP	1
YPR047W	TP	1
YPR058W	TP	0.999998
YPR060C	TP	1
YPR062W	TP	1
YPR069C	TP	1
YPR074C	TP	1
YPR081C	TP	1
YPR113W	TN	6.677e-14
YPR118W	TP	1
YPR121W	TP	1
YPR127W	TP	0.998564
YPR128C	TP	0.999886
YPR138C	TP	1
YPR139C	TP	1
YPR140W	TP	1
YPR145W	TP	1
YPR156C	TP	1
YPR159W	TP	1
YPR160W	TP	1
YPR165W	TN	0
YPR167C	TP	1
YPR183W	TN	0
YPR184W	TP	1
YPR191W	TP	0.196833
YPR192W	TP	1
YPR193C	TP	1
