iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4969[u]	CE4969	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_CE4968[u]	CE4968	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_ethmalac[u]	ethmalac	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_adpac[u]	adpac	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_subeac[u]	subeac	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_sebacid[u]	sebacid	u	urine	Increased	urine	Increased (urine)	True	854	917
GA2	21	GA2 Glutaric Acidemia Type II	2108.1	_ETF;_FADH2ETC	EX_pro_L[u]	pro_L	u	urine	Increased	urine	Increased (urine)	True	854	917
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_5oxpro[u]	5oxpro	u	urine	Increased	urine	Increased (urine)	False	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_leuktrE4[u]	leuktrE4	u	urine	Increased	urine/blood	Increased (urine/blood)	True	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	EX_leuktrC4[u]	leuktrC4	u	urine	Increased	urine/blood	Increased (urine/blood)	True	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_5oxpro[bc]	5oxpro	bc	blood	Decreased	blood	Decreased (blood)	False	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrE4[bc]	leuktrE4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrC4[bc]	leuktrC4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_leuktrD4[bc]	leuktrD4	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	919	966
OXOP	22	OXOP Glutathione Synthetase Deficiency And 5-Oxoprolinuria	2937.1	_GTHS	DM_pro_L[bc]	pro_L	bc	blood	Increased	blood	Increased (blood)	False	919	966
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_acac[u]	acac	u	urine	Increased	urine	Increased (urine)	True	968	1012
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_acetone[u]	acetone	u	urine	Increased	urine	Increased (urine)	True	968	1012
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	EX_bhb[u]	bhb	u	urine	Increased	urine	Increased (urine)	True	968	1012
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_chsterol[bc]	chsterol	bc	blood	Increased	blood	Increased (blood)	False	968	1012
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_glc_D[bc]	glc_D	bc	blood	Increased	blood	Increased (blood)	False	968	1012
GSD6	23	GSD6 Glycogen Storage Disease Type 6/Hers Disease	178.1	_r1393	DM_lac_L[bc]	lac_L	bc	blood	Increased	blood	Increased (blood)	False	968	1012
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_creat[u]	creat	u	urine	Decreased	urine/blood	Decreased (urine/blood)	True	1015	1054
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	DM_creat[bc]	creat	bc	blood	Decreased	urine/blood	Decreased (urine/blood)	False	1015	1054
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	DM_crtn[bc]	crtn	bc	blood	Increased	blood	Increased (blood)	False	1015	1054
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_urate[u]	urate	u	urine	Increased	urine	Increased (urine)	True	1015	1054
GMT	24	GMT Guanidinoacetate Methyltransferase Deficiency	2593.1	_GACMTRc	EX_gudac[u]	gudac	u	urine	Increased	urine	Increased (urine)	True	1015	1054
